category,page,index,link,brand_name,product_name_clean,gift,price,volume,bottle_type,ingredients
미스트/오일,3,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214199&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=66,케어놀로지,케어놀로지 리블루 나이트 페이셜 오일,,89000,50ml,,
미스트/오일,3,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214202&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=67,케어놀로지,케어놀로지 리블루 밸런싱 크림 인 미스트,,34000,120ml,,
미스트/오일,3,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214316&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=68,아이디플라코스메틱,아이디플라코스메틱 리얼애프터케어 미스트,,30000,120ml,,
미스트/오일,3,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215152&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=69,그라운드플랜,그라운드플랜 미스트,,34000,100ml,,
미스트/오일,3,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215447&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=70,더말로지카,더말로지카 울트라카밍 미스트,,53000,177ml,,
미스트/오일,3,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219172&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=71,눅스,눅스 윌 프로디쥬스 멀티 드라이 오일,,35000,50ml,,
미스트/오일,3,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223623&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=72,숨37,숨37 시크릿 에센스 미스트,60ml,54000,60ml,,
미스트/오일,4,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138762&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=73,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서,,24000,120ml,,
미스트/오일,4,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166436&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=74,아벤느,아벤느 오 떼르말 미스트 *2,,34000,300ml,,
미스트/오일,4,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173493&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=75,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서,15ml 젤 픽서,18000,75ml,,
미스트/오일,4,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000001588&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=76,에비앙,에비앙 브뤼미자뙤르 페이셜미스트,,7000,50ml,,
미스트/오일,4,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000102704&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=77,쌍빠,쌍빠 어딕트 포어리스 매직 에센스,,19000,100ml,,
미스트/오일,4,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107339&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=78,트릴로지,트릴로지 로즈힙오일 라이트 블렌드,,36000,30ml,,
미스트/오일,4,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000112242&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=79,케어존,케어존 닥터솔루션 아큐어 트러블 진정 미스트,,15000,170ml,,
미스트/오일,4,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000124079&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=80,달팡,달팡 로즈 아로마틱 케어,,85000,15ml,,
미스트/오일,4,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137163&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=81,엠도씨,엠도씨 울트라 수분 미스트,,23000,80ml,,
미스트/오일,4,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199400&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=82,식물나라,식물나라 유채꿀 촉촉 멀티오일30mL,,17800,,,
미스트/오일,4,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201287&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=83,바이오힐보,바이오힐보 프로바이오덤 3D 리프팅 크림 미스트,,28000,100ml,,
미스트/오일,4,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203008&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=84,에센허브,에센허브 티트리 100 오일,크림10ml+면봉 50P 증정,19800,10ml,,
미스트/오일,4,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203571&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=85,달팡,달팡 로즈 아로마틱 케어,,85000,15ml,,
