category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
패드,3,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177913&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=54,토리든,토리든 밸런스풀 시카 토너 패드,10매 추가 증정,23000,60매,,
패드,3,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212466&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=55,바이오힐보,바이오힐보 판테셀 리페어시카 거즈 패드,,44800,80ml,,
패드,3,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206957&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=56,아비브,아비브 글루타치온좀 잡티 패드 비타 터치,,24000,60매,,
패드,3,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185115&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=57,브링그린,브링그린 티트리시카트러블수딩토너패드  단품,,21000,90매,,
패드,3,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000155077&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=58,더랩바이블랑두,더랩바이블랑두 그린 플라보노이드 2.5 패드,12매,23000,90매,,
패드,3,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206129&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=59,셀퓨전씨,셀퓨전씨 포스트 알파 시카 쿨링 패드,,23000,70매,,
패드,3,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000114731&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=60,스트라이덱스,스트라이덱스 센시티브 패드,,10900,55매,,
패드,3,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206151&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=61,이니스프리,이니스프리 비타민C 패드,리필패드 10매,28000,60매,,
패드,3,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215306&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=62,바이오던스,바이오던스 바이오 콜라겐 겔 토너 패드,4매 증정 기획 OY단독,26000,60매,,
패드,3,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000172635&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=63,아드망,아드망 마린 켈프 아쿠아 모이스처 토너패드,,19800,60매,,
패드,3,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166713&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=64,스킨푸드,스킨푸드 미나리 클리어 패드,10매 증정,26000,60매,,
패드,3,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218013&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=65,더마토리,더마토리 히알루론 수분샘 엠보 패드,,26000,60매,,
패드,3,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000160795&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=66,라운드랩,라운드랩 1025 독도 패드,10매,24000,70매,,
패드,3,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000191799&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=67,센텔리안24,센텔리안24 마데카 멜라 캡처 앰플 패드,,26000,60매,,
패드,3,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204929&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=68,스킨푸드,스킨푸드 캐롯 카로틴 카밍 워터 패드,60매+30매+캐롯시트 2매 증정,32000,60매,,
