category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
로션 > 로션,2,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000121268&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=40,싸이닉,싸이닉 더 심플 데일리 로션,,18000,145ml,,
로션 > 로션,2,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000011088&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=41,엠도씨,엠도씨 세붐 스트라이크 세럼,,20000,100ml,,
로션 > 로션,2,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016749&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=42,라끄베르,라끄베르 옴므 리차지 에멀전,,16000,180ml,,
로션 > 로션,2,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000103320&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,코스알엑스,코스알엑스 오일-프리 울트라 모이스쳐라이징 로션,,19000,100ml,,
로션 > 로션,2,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104146&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=44,크리니크,크리니크 안티-블레미쉬 솔루션 올-오버 클리어링 트리트먼트 오일-프리,,42000,50ml,,
로션 > 로션,2,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104173&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=45,크리니크,크리니크 드라마티컬리 디퍼런트 모이스춰라이징 로션,,58000,125ml,,
로션 > 로션,2,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104176&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=46,크리니크,크리니크 드라마티컬리 디퍼런트 모이스춰라이징 젤,,58000,125ml,,
로션 > 로션,2,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104972&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=47,크리니크,크리니크 포 맨 모이스춰라이징 로션,,61000,100ml,,
로션 > 로션,2,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115386&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=48,크리니크,크리니크 드라마티컬리 디퍼런트 하이드레이팅 젤리,,58000,125ml,,
로션 > 로션,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115419&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=49,셀퓨전씨,셀퓨전씨 트리악 모이스처 젤 오인트,,28000,100ml,,
로션 > 로션,3,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000116601&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=50,눅스,눅스 아쿠아벨라 로션,,36000,50ml,,
로션 > 로션,3,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129771&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=51,피지오겔,피지오겔 레드수딩 AI 진정보습 로션,,37500,200ml,,
로션 > 로션,3,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000135591&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=52,네오젠,네오젠 프로바이오틱스 유스 리페어 에멀젼,,34000,100ml,,
로션 > 로션,3,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137078&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=53,싸이닉,싸이닉 더 심플 데일리 로션,,18000,260ml,,
로션 > 로션,3,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137652&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=54,라네즈옴므,라네즈옴므 액티브워터 모이스처라이저,,27000,125ml,,
로션 > 로션,3,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141317&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=55,디오디너리,디오디너리 내추럴 모이스처라이징 팩터스,,10200,30ml,,
로션 > 로션,3,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000143196&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=56,라네즈옴므,라네즈옴므 블루에너지 에센스인로션,,32000,125ml,,
로션 > 로션,3,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144036&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=57,폴라초이스,폴라초이스 리지스트 데일리 5% 아하 데일리 각질제거제,,55000,50ml,,
로션 > 로션,3,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000144803&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=58,아크웰,아크웰 리얼 아쿠아 밸런싱 로션,,25000,140ml,,
로션 > 로션,3,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000146263&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=59,하다라보,하다라보 고쿠쥰 프리미엄 밀크,,20000,140ml,,
로션 > 로션,3,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000147661&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=60,AHC,AHC 온리 포맨 로션,,25000,150ml,,
로션 > 로션,3,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148729&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=61,디오디너리,디오디너리 그랜액티브 레티노이드 2% 에멀전,,18400,30ml,,
로션 > 로션,3,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149427&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=62,보닌,보닌 퓨어 에센셜 에멀전,,20000,,,
로션 > 로션,3,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150816&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=63,아크네스,아크네스 모이스처 플루이드,,15000,150ml,,
로션 > 로션,3,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000151530&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=64,코스알엑스,코스알엑스 에이씨컬렉션 라이트웨이트 수딩 모이스처라이저,,18000,80ml,,
로션 > 로션,3,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152286&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=65,마녀공장,마녀공장 비피다 바이옴 앰플 로션,,25000,300ml,,
로션 > 로션,3,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154626&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=66,달팡,달팡 인트랄 액티브 스태빌라이징 로션,,108000,100ml,,
로션 > 로션,3,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162054&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=67,라네즈,라네즈 워터뱅크 블루히알루로닉 에멀젼,,35000,120ml,,
로션 > 로션,3,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162615&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=68,마리엔메이,마리엔메이 비타민C,,19500,120ml,,
로션 > 로션,3,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166427&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=69,랩시리즈,랩시리즈 올인원 디펜스 로션 SPF35 PA,,58000,50ml,,
로션 > 로션,3,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000166474&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=70,크리니크,크리니크 포맨 오일-프리 모이스춰라이저,,61000,100ml,,
로션 > 로션,3,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000169182&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=71,피지오겔,피지오겔 DMT 포맨 플루이드,,35000,100ml,,
로션 > 로션,3,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000170421&dispCatNo=1000001000100160001&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=72,비오템옴므,비오템옴므 티쀼르 모이스춰라이저,,110000,50ml,,
